expression,english meaning, nepali expression, pronunciation
本棚,bookshelf,किताब राख्ने ठाउँ,kitab rakhne thaaun
本当,"real, true",साँच्चिकै,sanchikai
～枚,counter for flat things,वटा,wata
毎朝,every morning,हरेक बिहान,harek bihana
毎月,"every month, monthly",हरेक महिना,harek mahina
毎週,every week,हरेक हप्ता,harek hapta
毎日,every day,हरेक दिन,harek din
毎年,"every year, yearly, annually",हरेक वर्ष,harek barsha
毎晩,every night,हरेक राति,harek rati
前,"before, in front",अगाडि,agadi
～前,in front of ~,अगाडि,agadi
曲る,"to turn, to bend",मोड्नु,modnu
まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",नमिठो,namitho
また,and; furthermore,अनि; फेरि,ani; pheri
まだ,"yet, still, besides",अझै,ajhai
町,town; city,शहर,shahar
待つ,to wait,पर्खनु,parkhanu
まっすぐ,"straight (ahead), direct",सिधा,sidha
マッチ,match,सलाई,salai
窓,window,झ्याल,jhyal
丸い; 円い,"round, circular",गोलो,golo
万,ten thousand,दश हजार,das hajar
万年筆,fountain pen,फाउन्टेन पेन,fountain pen
磨く,to brush (teeth); to polish,माझ्नु,majhnu
右,right hand side,दायाँ,dayaan
短い,short (length),छोटो,chhoto
水,water,पानी,pani
店,"store, shop",पसल,pasal
見せる,"to show, to display",देखाउनु,dekhaunu
道,"road, street; way, directions",बाटो,bato
三日,"three days, third day of the month",तीन दिन; तीन गते,tin din; tin gate
三つ,three things,तीन वटा,tin wata
緑,green,हरियो,hariyo
皆さん,"all of you, everyone",सबैजना,sabai jana
南,South,दक्षिण,dakshin
耳,ear,कान,kaan
見る,"to see, to look",हेर्नु,hernu
みんな,"all, everyone, everybody",सबै,sabai
六日,six days; sixth day of month,छ दिन; छ गते,chha din; chha gate
向こう,"beyond, over there",पारी,pari
難しい,difficult,गाह्रो,gahro
六つ,six things,छ वटा,chha wata
村,village,गाउँ,gaun
目,eye(s),आँखा,aankha
メートル,meter,मिटर,meter
眼鏡,eye glasses,चश्मा,chashma
もう,already; again; more,पहिले नै; फेरि,pahile nai; pheri
木曜日,Thursday,बिहीबार,bihibar
もしもし,Hello? (used on the phone),हेलो,hello
持つ,"to hold, to carry; to possess",लिनु; राख्नु,linu; rakhnu
もっと,more,अझ,ajha
物,thing (concrete object),वस्तु,bastu
門,gate,ढोका; गेट,dhoka; gate
問題,a problem,समस्या,samasya
～屋,~ shop,पसल,pasal
八百屋,greengrocer,तरकारी पसल,tarkari pasal
野菜,vegetable,तरकारी,tarkari
易しい,"easy, plain, simple",सजिलो,sajilo
安い,inexpensive; cheap (things),सस्तो,sasto
休み,holiday; day off; absence,बिदा,bida
休む,"to rest, to have a break, to get time off",आराम गर्नु,aaram garnu
八つ,eight things,आठ वटा,aath wata
山,mountain,पहाड; हिमाल,pahad; himal
やる,"to do; to give (to pets, parents, siblings, etc.)",गर्नु; दिनु,garnu; dinu
夕方,"late afternoon (typically just before dinner time), evening",साँझ,saanjh
夕飯,"dinner, supper, evening meal",साँझको खाना,saanjhko khana
郵便局,post office,हुलाक,hulak
昨夜,last night,हिजो राति,hijo rati
有名,famous,प्रसिद्ध,prasiddha
雪,snow,हिउँ,hiun
ゆっくりと,"slowly, at ease",बिस्तारै,bistarai
八日,eight days; eighth day of the month,आठ दिन; आठ गते,aath din; aath gate
洋服,Western-style clothes,पश्चिमी लुगा,paschimi luga
よく,"frequently, often (much); well, skillfully",प्रायः; राम्रोसँग,prayah; ramrosanga
横,beside; side; width,छेउमा,chheuma
四日,four days; fourth day of the month,चार दिन; चार गते,char din; char gate
四つ,four things,चार वटा,char wata
呼ぶ,to call (one's name); to invite,बोलाउनु,bolaunu
読む,to read,पढ्नु,padhnu
夜,"evening, night",राति,rati
弱い,weak,कमजोर,kamjor
来月,next month,आउँदो महिना,aaundo mahina
来週,next week,आउँदो हप्ता,aaundo hapta
来年,next year,आउँदो वर्ष,aaundo barsha
ラジオ,radio,रेडियो,radio
ラジオカセ,radio cassette player,रेडियो क्यासेट,radio cassette
りっぱ,"splendid, fine",उत्कृष्ट,utkrishta
留学生,international student,विदेशी विद्यार्थी,bideshi bidyarthi
両親,"parents (lit., both parents)",आमाबुबा,aamabuwa
料理,cooking; cuisine,खाना पकाउने,khana pakaune
旅行,"travel, trip",यात्रा,yatra
零,"zero, nought",शून्य,shunya
冷蔵庫,refrigerator,फ्रिज,fridge
レコード,record,रेकर्ड,record
レストラン,restaurant,रेष्टुरेन्ट,restaurant
練習,(to) practice,अभ्यास,abhyas
廊下,corridor,करिडोर,corridor
六,six,छ,chha
ワイシャツ,"shirt (lit: white shirt), business shirt",सेतो सर्ट,seto shirt
若い,young,जवान,jawan
分かる,to understand,बुझ्नु,bujhnu
忘れる,to forget,बिर्सनु,birsanu
私,"I, myself",म,ma
渡す,to hand (something) over (v.t.); to get across,दिनु; हस्तान्तरण गर्नु,dinu; hastantaran garnu
渡る,"to cross over, to go across",तर्नु,tarnu
悪い,"bad, sinful; inferior",नराम्रो,naramro
